laboratory_name,avg_sash_height,ceil_height,surface_area,additional_evac,additional_equipment_max,additional_equipment_min,num_hoods_a,hood_model_a,num_hoods_b,hood_model_b,day_occupancy_rate,night_occupancy_rate,weekend_day_occupancy_rate,weekend_night_occupancy_rate,fumehood_occupancy_rate,day_occupied_ach,day_unoccupied_ach,night_occupied_ach,night_unoccupied_ach,ach_day_start,ach_night_start,cost_cfm,day_occupancy_start,night_occupancy_start,weekend_day_occupancy_start,weekend_night_occupancy_start,notes
PK-2260,0,8.4,703,272,0,0,1,VAV-48-770-175,0,NA,0.896195652,0.373913044,0.303804348,0.227445652,0.70615942,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-2270,0.75,8.4,456,242,0,0,1,VAV-48-770-175,0,NA,0.95,0.6,0.95,0.6,0.95,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-2375,0.5,8.4,659,147,0,0,1,VAV-48-770-175,0,NA,0.95,0.1,0.1,0.1,0.65,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-2660,0.5,8.4,377,225,0,0,1,VAV-48-770-175,0,NA,0.896195652,0.373913044,0.303804348,0.227445652,0.70615942,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-2759,0,8.3,94,133,530,50,4,VAV-48-770-175,0,NA,0.896195652,0.373913044,0.303804348,0.227445652,0.70615942,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-2785,0.5,8.4,493,172,50,50,1,VAV-48-770-175,0,NA,0.896195652,0.373913044,0.303804348,0.227445652,0.70615942,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,"Not in concept original, used Dec 2010 data"
PK-3270,0.125,8.4,437,270,123,450,2,VAV-48-770-175,0,NA,0.75,0.25,0.25,0.1,0.583333333,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,"Not in concept original, used Dec 2010 data"
PK-5270,0,8.4,217,100,30,30,1,VAV-48-770-175,1,VAV-96-1540-350,0.896195652,0.373913044,0.303804348,0.227445652,0.70615942,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,"Not in concept originl or Dec 2010 data, made assumptions"
PK-5365,0.25,8.5,622,89,0,0,1,VAV-48-770-175,0,NA,0.95,0.175,0.25,0.1,0.716666667,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-5370,0.25,8.4,223,82,0,0,1,VAV-48-770-175,0,NA,0.95,0.95,0.95,0.95,0.95,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-5465,0,8.3,217,82,0,0,1,VAV-48-770-175,0,NA,0.95,0.95,0.95,0.95,0.95,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-5670,0,8.4,882,275,60,60,2,VAV-48-770-175,0,NA,0.896195652,0.373913044,0.303804348,0.227445652,0.70615942,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,"Not in concept original, conflicting data in Dec 2010, made assumptions"
PK-5780,0,8.4,441,84,0,0,1,VAV-48-770-175,0,NA,0.75,0.175,0.25,0.175,0.816666667,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,"""Hotte Rad-Iso"""
PK-5791,0.375,8.4,400,287,30,30,1,VAV-48-770-175,1,VAV-120-1994-460,0.95,0.95,0.95,0.95,0.95,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,"""Hotte Rad-Iso"" weighted avergage min/max assumptions made"
PK-5875,0.25,8.4,436,84,0,0,1,VAV-48-770-175,0,NA,0.95,0.95,0.95,0.95,0.95,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-6280,0.25,8.4,440,82,0,0,1,VAV-48-770-175,0,NA,0.896195652,0.373913044,0.303804348,0.227445652,0.70615942,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
PK-6355,0,8.4,834,300,30,30,4,VAV-72-1155-263,0,NA,0.896195652,0.373913044,0.303804348,0.227445652,0.70615942,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,"Not on concept original or Dec 2010 data, made assumptions"
PK-6360,0,8.4,485,180,30,30,1,VAV-72-1155-263,0,NA,0.896195652,0.373913044,0.303804348,0.227445652,0.70615942,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,"Not on concept original or Dec 2010 data, made assumptions"
PK-6365,0.75,8.3,222,82,0,0,1,VAV-48-770-175,0,NA,0.95,0.1,0.1,0.1,0.95,6,6,6,6,08:00,20:00,5,08:00,20:00,10:00,18:00,
