fumehood,,flow,open
ottomaass-230-9__mcgill-standard__otto-mass-119-230,std,1792.6417626947696,5.660572661165376
ottomaass-230-9__mcgill-standard__otto-mass-119-230,min,89.0,7.26
ottomaass-230-9__mcgill-standard__otto-mass-119-230,25%,99.0,8.724999
ottomaass-230-9__mcgill-standard__otto-mass-119-230,50%,100.0,10.07
ottomaass-230-9__mcgill-standard__otto-mass-119-230,75%,100.0,11.575
ottomaass-230-9__mcgill-standard__otto-mass-119-230,max,65535.0,35.934998
ottomaass-230-10__mcgill-standard__otto-mass-119-230,count,2652.0,2736.0
ottomaass-230-10__mcgill-standard__otto-mass-119-230,mean,0.0,0.0
ottomaass-230-10__mcgill-standard__otto-mass-119-230,std,0.0,0.0
ottomaass-230-10__mcgill-standard__otto-mass-119-230,min,0.0,0.0
ottomaass-230-10__mcgill-standard__otto-mass-119-230,25%,0.0,0.0
ottomaass-230-10__mcgill-standard__otto-mass-119-230,50%,0.0,0.0
ottomaass-230-10__mcgill-standard__otto-mass-119-230,75%,0.0,0.0
ottomaass-230-10__mcgill-standard__otto-mass-119-230,max,0.0,0.0
ottomaass-230-11__mcgill-standard__otto-mass-119-230,count,2648.0,2739.0
ottomaass-230-11__mcgill-standard__otto-mass-119-230,mean,171.4618580060423,29.87462855458225
ottomaass-230-11__mcgill-standard__otto-mass-119-230,std,1797.9046777089054,10.828095242977694
ottomaass-230-11__mcgill-standard__otto-mass-119-230,min,98.0,17.744999
ottomaass-230-11__mcgill-standard__otto-mass-119-230,25%,103.0,21.289998999999998
ottomaass-230-11__mcgill-standard__otto-mass-119-230,50%,107.0,25.754998999999998
ottomaass-230-11__mcgill-standard__otto-mass-119-230,75%,114.0,36.555
ottomaass-230-11__mcgill-standard__otto-mass-119-230,max,65535.0,72.40999599999999
ottomaass-230-12__mcgill-standard__otto-mass-119-230,count,2664.0,2748.0
ottomaass-230-12__mcgill-standard__otto-mass-119-230,mean,161.0394144144144,24.972668680859023
ottomaass-230-12__mcgill-standard__otto-mass-119-230,std,1792.8567614851336,9.63630077570428
ottomaass-230-12__mcgill-standard__otto-mass-119-230,min,86.0,17.705
ottomaass-230-12__mcgill-standard__otto-mass-119-230,25%,98.0,19.279999
ottomaass-230-12__mcgill-standard__otto-mass-119-230,50%,98.0,22.289998999999998
ottomaass-230-12__mcgill-standard__otto-mass-119-230,75%,99.0,25.26
ottomaass-230-12__mcgill-standard__otto-mass-119-230,max,65535.0,73.220001
