,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,318.0,318.0,337,318.0,318.0,318.0
mean,12.989769741545494,217.83410303384147,0.24035608308605341,236.78835198176043,13.810977628839183,227.31122750780224
std,16.723985700321776,41.77143527957447,0.42793509350839726,84.09674314471614,34.62005333687191,61.67422695842005
min,0.0,204.47191999999998,False,210.0,0.16325681359845842,208.719176
25%,1.3149999999999997,207.65023999999997,False,210.0,0.16325681368759354,208.82511999999997
50%,1.9983333333333337,209.76911999999996,0.0,210.0,1.6615312301629959,209.88455999999996
75%,25.32749925,209.76911999999996,False,210.76592240859372,1.6615312301629959,210.28571820996092
max,71.814995,456.83052799999996,True,627.5832618611112,150.1065945831364,527.120758828125
