,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,318.0,318.0,337,318.0,318.0,318.0
mean,12.989769741545494,217.83410303384147,0.19287833827893175,236.41354976457637,13.352643247950354,227.12382639921023
std,16.723985700321776,41.77143527957447,0.39514504574672682,81.78811558765648,33.196900173984766,60.52438082470284
min,0.0,204.47191999999998,False,210.0,0.16325681359845842,208.719176
25%,1.3149999999999997,207.65023999999997,False,210.0,0.16325681368759354,208.82511999999997
50%,1.9983333333333337,209.76911999999996,0.0,210.0,1.6615312301629959,209.88455999999996
75%,25.32749925,209.76911999999996,False,210.83871043125,1.7739018113965876,210.91869424843748
max,71.814995,456.83052799999996,True,627.5832618611112,150.1065945831364,521.4418709305555
