,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,231.0,231.0,330,231.0,231.0,231.0
mean,25.478918291054192,272.697354701624,0.19696969696969696,217.43987527876763,42.953628972461644,245.0686149901951
std,14.249566311336396,124.27590664180849,0.39831319753964267,27.281132972406816,76.36958074088992,70.84047078025114
min,16.182498999999996,205.53135999999998,False,210.0,1.0372502232782606,207.76567999999997
25%,16.279999,205.53135999999998,0.0,210.0,3.1598056466815234,207.76567999999997
50%,16.469998999999998,205.53136,0.0,210.0,3.1598056466815234,207.76568
75%,38.555,252.14672000000004,0.0,210.0,29.802231516770885,239.34287777777777
max,56.785,625.2622254545454,True,366.37248700000004,289.6375946040886,494.66160349999996
