,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,267.0,268.0,335,267.0,267.0,268.0
mean,18.52544407219144,220.39199226460727,0.21194029850746268,213.0540089269413,8.620758124986194,216.70896580299953
std,7.522695187865812,58.622087416496086,0.4092941156085278,19.780779234761166,33.98534081101504,36.25472399030265
min,16.545,205.53135999999998,False,210.0,0.16325681359845842,205.53135999999998
25%,16.629998999999998,205.53135999999998,0.0,210.0,0.16325681368759354,207.76567999999997
50%,16.744999,207.65023999999997,0.0,210.0,1.6615312301629959,208.82511999999997
75%,16.744999000000004,209.76911999999996,0.0,210.0,3.1598056466815234,209.88455999999996
max,57.524998,622.9507199999999,True,388.36197972,283.27341293266636,485.42797413791664
