,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,237.0,238.0,334,237.0,237.0,238.0
mean,25.62339599644846,257.6697439262018,0.35628742514970058,264.13516305108584,19.203310376742223,260.7837876839147
std,13.597417268559436,107.28575594225637,0.47962008365601527,110.78027721202035,37.71092990495502,104.83015468984883
min,16.775,207.29709333333332,False,210.0,1.6615312301542378,207.65023999999997
25%,16.914999,207.65023999999997,0.0,210.0,1.6615312301629959,208.82511999999997
50%,17.629998999999998,207.65024,0.0,210.0,1.6615312301629959,208.82512
75%,24.029999,207.65024000000003,1.0,255.11848938333335,22.877808223233615,232.36058340104165
max,58.259997999999996,627.423911111111,True,646.5696250000001,182.28642205815683,609.1409870454545
