,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,280.0,281.0,335,280.0,280.0,281.0
mean,23.23329761521477,255.43423658792284,0.19701492537313434,219.0478652755863,27.693983711612407,237.95973928535597
std,12.302331808171317,115.68742126710083,0.39833867171209564,33.412902734925716,65.13872859313975,73.12528683982657
min,16.819999999999997,205.53135999999998,False,210.0,0.16325681359845842,207.76567999999997
25%,16.934998999999998,205.53135999999998,0.0,210.0,0.16325681368759354,207.76567999999997
50%,17.049999000000003,208.88625333333331,0.0,210.0,3.1598056466815234,209.44312666666667
75%,18.584999,209.76912000000002,0.0,210.0,3.159805646683826,209.88456000000002
max,58.79999900000001,629.30736,True,397.48799324,291.3137294799273,622.9507199999999
