,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,258.0,258.0,335,258.0,258.0,258.0
mean,22.549716449481355,252.7174736422247,0.2656716417910448,241.41630328321665,16.39622945756295,247.06688846272078
std,11.24194420715697,112.96223123572456,0.44235090482082146,86.10392502808628,41.19385093819113,95.58149020856861
min,16.584999,205.53135999999998,False,210.0,0.10915671672690208,207.76567999999997
25%,16.82,207.65023999999997,0.0,210.0,0.16325681368759354,208.82511999999997
50%,16.94583261111111,209.76911999999996,0.0,210.0,1.6615312301629959,209.88455999999996
75%,20.83,209.76912,1.0,210.0,3.1598056466815234,209.88456000000002
max,57.334998999999996,629.30736,True,629.6842610500001,224.6707718836337,629.495810525
