,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,237.0,238.0,334,237.0,237.0,238.0
mean,25.62339599644846,257.6697439262018,0.20658682634730538,218.50300192141466,30.39935425002339,238.06357300380535
std,13.597417268559436,107.28575594225637,0.40546384286885778,29.80026088181998,64.41813108182072,63.68193416931512
min,16.775,207.29709333333332,False,210.0,1.6615312301542378,207.65023999999997
25%,16.914999,207.65023999999997,0.0,210.0,1.6615312301629959,208.82511999999997
50%,17.629998999999998,207.65024,0.0,210.0,1.6615312301629959,208.82512
75%,24.029999,207.65024000000003,0.0,210.0,1.6615312301629959,208.82512000000003
max,58.259997999999996,627.423911111111,True,374.3561185649999,273.7344787659948,493.9075461955554
