,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,237.0,238.0,334,237.0,237.0,238.0
mean,18.875622783051757,210.647242972584,0.21257485029940121,210.21860656945617,2.998695081015323,210.42752904293292
std,5.403219629637375,9.557366558907054,0.40974314677924767,2.463731710991913,5.957553722337201,5.1564245659831816
min,16.889999,207.65023999999997,False,210.0,0.16325681359845842,207.65024
25%,17.029999500000002,207.65023999999997,0.0,210.0,1.6615312301629959,208.82511999999997
50%,17.125,207.65024,0.0,210.0,1.6615312301629959,208.82511999999997
75%,17.24,207.65024000000003,0.0,210.0,1.6615312301629959,208.82512000000003
max,37.058332666666665,290.28656,True,243.0363,56.77117101414054,250.14328
