,hood,flow,open
count,148854.0,148854.0,148124.0
mean,87204.54642804358,179.73355099627824,33.42203697492415
std,58088.24114620266,88.6378303290029,26.10621014370935
min,22243.0,19.0,0.0
25%,22363.0,98.0,16.584999
50%,139049.0,142.0,28.764999
75%,139251.0,282.0,51.514998999999996
max,139457.0,569.0,114.07
