SIMULATION RESULTS
simulation_description,Day Unoccupied ACH,Day Occupied ACH,Night Unoccupied ACH,Night Occupied ACH,Fumehood Occupation Rate,Usage Reduction Factor,start_date, end_date, total_hours_in_range, total_hours_analysed, min_lab_evac_per_hour, hood_total_evac_per_hour, base_hood_evac_per_hour, sash_dependent_evac_per_hour, yearly_fumehood_added_expense, yearly_sash_dependent_added_expense
Current Operating Settings,4,10,4,10,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4529,4536.17140854,3200.0,1336.17140854,23814.8998948,23814.8998948
Reduced ACH at Day,4,10,3,6,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4166,4358.01048805,3200.0,1158.01048805,22879.5550623,22879.5550623
Reduced ACH at Night,4,8,3,6,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3852,4057.28757917,3200.0,857.287579172,21300.7597907,21300.7597907
Reduced ACH Both,4,8,3,6,0.4,0,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3883,4075.65965725,3200.0,875.659657253,21397.2132006,21397.2132006
Usage Reduction -15%,4,10,4,10,0.4,0.15,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4547,4549.92374141,3200.0,1349.92374141,23887.0996424,23887.0996424
Usage Reduction -25%,4,10,4,10,0.4,0.25,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4547,4548.31597251,3200.0,1348.31597251,23878.6588557,23878.6588557
Usage Reduction -30%,4,10,4,10,0.4,0.3,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,4547,4547.82430959,3200.0,1347.82430959,23876.0776253,23876.0776253
Usage Reduction -25% with Reduced ACH,4,8,3,6,0.4,0.25,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3896,3937.69259225,3200.0,737.692592253,20672.8861093,20672.8861093
Usage Reduction with ACH Reduction,4,8,3,6,0.4,0.25,2013-10-24 17:00:00-05:00,2013-11-07 17:00:00-05:00,408,337,3871,3913.28722078,3200.0,713.287220782,20544.7579091,20544.7579091
