,hood,flow,open
count,656153.0,656153.0,653752.0
mean,97722.73743014205,164.86388540477603,31.36055917763378
std,55919.00055366434,85.38995972619938,25.97291153590945
min,22243.0,19.0,0.0
25%,22375.0,98.0,15.66
50%,139061.0,112.0,24.219998999999998
75%,139248.0,278.0,44.689999
max,139457.0,569.0,163.524994
