,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
count,1599.0,1599,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0
mean,1.0,0.97373358348968109,260.53305190743276,175.0,0.0,260.53305190743276,222.6348695418654,228.93082353276336,33.884328619763174,225.78284653731342,292.8096164419268,273.1715325703486,32.276564534492586,12.63848066291431
std,0.0,0.15997655199462604,9.604458926734631,0.0,0.0,9.604458926734631,106.29345011395898,53.24770516690425,27.134726912675365,78.32077611534615,76.0537432759663,37.19659012944757,75.60051774279441,36.41100563588142
min,1.0,False,202.07333333333332,175.0,0.0,202.07333333333332,175.0,205.53135999999998,0.07379622824890358,190.26567999999997,202.07333333333332,205.53135999999998,0.0,0.0
25%,1.0,1.0,262.11,175.0,0.0,262.11,175.0,205.53135999999998,21.58893169484791,190.26567999999997,262.11,262.11,0.0,0.0
50%,1.0,1.0,262.11,175.0,0.0,262.11,175.0,207.65024,23.08720611136823,191.32512,262.11,262.11,0.0,0.0
75%,1.0,1.0,262.11,175.0,0.0,262.11,175.0,209.76912,24.585480527888613,192.38456,262.11,262.11,0.0,0.0
max,1.0,True,262.11,175.0,0.0,262.11,591.31331,595.40528,137.94101950155246,564.6633018133332,591.31331,595.40528,365.37838058666665,333.29527999999993
