,percent_open,datastream_flow,occupancy,evacuation_cfm,datastream_and_calculated_cfm_std,datastream_and_calculated_cfm_mean
count,44.0,44.0,45,44.0,44.0,44.0
mean,37.980134501791454,323.73532566483016,0.33333333333333331,284.7016058675585,31.407531880032437,304.2184657661943
std,18.44321590364735,162.6585104089889,0.47673129462279618,123.75153627564852,51.21036370904128,139.49890915122702
min,22.25,205.53135999999998,False,210.0,0.4129692163834174,207.76567999999997
25%,22.978559647727266,205.7741483333333,False,210.0,2.841422333171975,207.9312175
50%,26.79999900000001,207.65024,0.0,210.0,3.1598056466815234,209.08997999999997
75%,53.69803404464285,462.31312999999994,True,326.35915494919044,33.06328285864775,411.6834780344999
max,68.85124891666665,625.0695999999999,True,560.848064439,217.1295420404928,583.8192906157916
