SIMULATION RESULTS
simulation_description,Day Unoccupied ACH,Day Occupied ACH,Night Unoccupied ACH,Night Occupied ACH,Fumehood Occupation Rate,Usage Reduction Factor,start_date, end_date, total_hours_in_range, total_hours_analysed, min_lab_evac_per_hour, hood_total_evac_per_hour, base_hood_evac_per_hour, sash_dependent_evac_per_hour, yearly_fumehood_added_expense, yearly_sash_dependent_added_expense
Current Operating Settings,4,10,4,10,0.4,0,2013-11-05 21:00:00-05:00,2013-11-07 16:00:00-05:00,-43,44,2331,2434.58599724,2400.0,34.5859972408,12781.5764855,12781.5764855
Reduced ACH at Day,4,10,3,6,0.4,0,2013-11-05 21:00:00-05:00,2013-11-07 16:00:00-05:00,-43,44,2048,2434.58599724,2400.0,34.5859972408,12781.5764855,12781.5764855
Reduced ACH at Night,4,8,3,6,0.4,0,2013-11-05 21:00:00-05:00,2013-11-07 16:00:00-05:00,-43,44,2048,2434.58599724,2400.0,34.5859972408,12781.5764855,12781.5764855
Reduced ACH Both,4,8,3,6,0.4,0,2013-11-05 21:00:00-05:00,2013-11-07 16:00:00-05:00,-43,44,2048,2434.58599724,2400.0,34.5859972408,12781.5764855,12781.5764855
Usage Reduction -15%,4,10,4,10,0.4,0.15,2013-11-05 21:00:00-05:00,2013-11-07 16:00:00-05:00,-43,44,2331,2400.0,2400.0,0.0,12600.0,12600.0
Usage Reduction -25%,4,10,4,10,0.4,0.25,2013-11-05 21:00:00-05:00,2013-11-07 16:00:00-05:00,-43,44,2331,2400.0,2400.0,0.0,12600.0,12600.0
Usage Reduction -30%,4,10,4,10,0.4,0.3,2013-11-05 21:00:00-05:00,2013-11-07 16:00:00-05:00,-43,44,2331,2400.0,2400.0,0.0,12600.0,12600.0
Usage Reduction -25% with Reduced ACH,4,8,3,6,0.4,0.25,2013-11-05 21:00:00-05:00,2013-11-07 16:00:00-05:00,-43,44,2048,2400.0,2400.0,0.0,12600.0,12600.0
Usage Reduction with ACH Reduction,4,8,3,6,0.4,0.25,2013-11-05 21:00:00-05:00,2013-11-07 16:00:00-05:00,-43,44,2048,2400.0,2400.0,0.0,12600.0,12600.0
