,per_hour_hood_data_count,occupancy,min_lab_cfm,min_hood_cfm,min_additional_hood_cfm,min_possible_lab_cfm,calc_hood_cfm,stream_hood_cfm,stream_and_calc_hood_cfm_std,stream_and_calc_hood_cfm_mean,calc_total_lab_cfm,stream_total_lab_cfm,calc_excess_cfm,stream_excess_cfm
count,4811.0,4811,4811.0,4811.0,4811.0,4811.0,1156.0,1159.0,1156.0,1159.0,4811.0,4811.0,4811.0,4811.0
mean,0.24028268551236748,0.97983787154437751,269.31999999999414,175.0,0.0,269.31999999999414,190.35678765673197,598.1097161748593,288.46982447951916,394.761129826512,271.6475089194031,348.52749969792956,2.327508919408762,79.20749969791521
std,0.4272995063152257,0.14056928622088685,5.015514990752411e-05,0.0,0.0,5.015514990752411e-05,65.18588778265044,0.8519611107216444,45.222602783503724,34.13649242867047,22.520458197432884,140.61674158738623,22.520458197498957,140.61674158743608
min,0.0,False,269.32000000000005,175.0,0.0,269.32000000000005,175.0,597.5241599999999,8.556834659653108,386.26207999999997,269.32000000000005,269.32000000000005,0.0,0.0
25%,0.0,1.0,269.32000000000005,175.0,0.0,269.32000000000005,175.0,597.5241599999999,298.76969875114975,386.26207999999997,269.32000000000005,269.32000000000005,0.0,0.0
50%,0.0,1.0,269.32000000000005,175.0,0.0,269.32000000000005,175.0,597.5241599999999,298.76969875114975,386.26207999999997,269.32000000000005,269.32000000000005,0.0,0.0
75%,0.0,1.0,269.32000000000005,175.0,0.0,269.32000000000005,175.0,598.5835999999999,299.51883595941007,387.1449466666666,269.32000000000005,269.32000000000005,0.0,0.0
max,1.0,True,269.32000000000005,175.0,0.0,269.32000000000005,669.56582784,599.6430399999999,300.2679731676703,633.54499392,669.56582784,599.6430399999999,400.24582783999995,330.3230399999999
